Topic,Count,Name,CustomName,CustomLabel
-1,87,-1_retrieval_graph_tasks_artificial intelligence,"retrieval, graph, tasks, artificial intelligence, llms","retrieval, graph, tasks, artificial intelligence, llms"
0,40,0_tasks_community_impact_retrieval,"tasks, community, impact, retrieval, social media","tasks, community, impact, retrieval, social media"
1,37,1_detection_knowledge graphs_domain_social media,"detection, knowledge graphs, domain, social media, pipeline","detection, knowledge graphs, domain, social media, pipeline"
2,20,2_vocabulary_accuracy_automated_training,"vocabulary, accuracy, automated, training, llms","vocabulary, accuracy, automated, training, llms"
3,19,3_domain_dependency_state art_words,"domain, dependency, state art, words, graphs","domain, dependency, state art, words, graphs"
4,18,4_retrieval_impact_trained_context,"retrieval, impact, trained, context, large language llms","retrieval, impact, trained, context, large language llms"
5,16,5_training_f1 score_large language_llms,"training, f1 score, large language, llms, retrieval","training, f1 score, large language, llms, retrieval"
6,13,6_impact_reference_sentence_account,"impact, reference, sentence, account, community","impact, reference, sentence, account, community"
