Topic,Count,Name,CustomName,CustomLabel
-1,20,-1_germany india_health_categorization_intersectionality,"germany india, health, categorization, intersectionality, gender roles marriage","germany india, health, categorization, intersectionality, gender roles marriage"
0,38,0_similarity_networks_education_nostalgia,"similarity, networks, education, nostalgia, metrics","similarity, networks, education, nostalgia, metrics"
1,15,1_companies_replicability_language_internal sustainability efforts,"companies, replicability, language, internal sustainability efforts, evidence based","companies, replicability, language, internal sustainability efforts, evidence based"
