Year,AI-Driven Uncertainty Analysis,Cognitive Label Loss Coding,Covid Trust Cohort Dynamics,European Party Dimensionality,Facebook Social Inclusion Metrics,German Election Candidate Attitudes,Graph Family Consistency,Knowledge Graph Argumentation Pipeline,Knowledge Graph Extraction Performance,Open Science Package Training,Parental Socioeconomic Disparities,Personality Vocational Matching Outcomes,Populist Right Wing Voting Behavior,Probability Sampling Methods,Social Media Publication Uncertainty
2023,13,7,6,20,12,18,12,12,13,10,8,6,11,17,11
2024,9,8,20,9,7,10,4,13,16,9,9,14,11,6,8
2025,6,8,10,11,9,14,13,3,3,13,11,8,11,0,16
